Passenger_ID,Flight_ID,Airline,Departure_Airport,Arrival_Airport,Departure_Time,Flight_Duration_Minutes,Flight_Status,Distance_Miles,Price_USD,Age,Gender,Income_Level,Travel_Purpose,Seat_Class,Bags_Checked,Frequent_Flyer_Status,Check_in_Method,Flight_Satisfaction_Score,Delay_Minutes,Booking_Days_In_Advance,No_Show,Weather_Impact,Seat_Selected,Booking_Lead_Time
P1,F68,Southwest,JFK,ATL,2024-03-27 06:22:06,161,On-time,803,148.42,47,Male,Medium,Emergency,Business,2,Platinum,Online,8.801355814918919,0.0,91,1,1,Window,102
P2,F1687,Southwest,JFK,DFW,2024-12-28 09:18:06,130,On-time,1605,228.57,30,Female,Low,Family,Business,1,Gold,Airport Kiosk,9.094379534754731,2.0,45,0,0,Middle,51
P3,F1745,United,ORD,ORD,2024-05-23 23:28:20,169,On-time,908,232.45,46,Male,Low,Business,Economy,0,Silver,Airport Kiosk,8.015234663890727,0.0,63,0,0,Middle,92
P4,F1514,Delta,SEA,ORD,2023-10-31 08:09:27,227,On-time,63,526.43,75,Female,Medium,Leisure,Business,0,Platinum,Online,7.544132605990195,9.0,57,0,1,Window,14
P5,F1753,Southwest,LAX,JFK,2025-01-17 22:21:13,150,On-time,628,324.14,23,Male,High,Family,Economy,2,Silver,Desk,7.133139948212132,3.0,58,0,0,Middle,106
P6,F1928,Delta,SFO,LAX,2025-02-15 01:17:31,155,On-time,1409,402.53,28,Female,Low,Emergency,Business,0,,Online,9.577452567394314,11.0,68,0,0,Window,71
P7,F532,Delta,ATL,SEA,2024-10-30 14:20:06,170,On-time,794,356.89,69,Female,Low,Emergency,Economy,0,Silver,Mobile App,7.404526182726858,17.0,37,0,0,Window,60
P8,F857,Delta,DFW,LAX,2023-11-12 13:05:12,82,On-time,1273,414.0,59,Male,Medium,Emergency,Business,1,,Airport Kiosk,8.544832991622135,11.0,49,0,0,Middle,20
P9,F16,American Airlines,ATL,SEA,2023-11-16 00:44:10,191,On-time,1196,201.48,50,Female,Medium,Emergency,Economy,0,Gold,Online,6.293315475413298,16.0,57,0,0,Window,102
P10,F473,United,DEN,JFK,2025-04-18 01:27:34,201,On-time,1115,444.95,60,Female,Medium,Emergency,Economy,1,Platinum,Airport Kiosk,8.642996783899692,1.0,116,0,1,Aisle,82
P11,F960,United,SEA,SFO,2024-04-29 10:38:34,245,On-time,818,218.26,77,Male,Medium,Business,Business,1,,Mobile App,8.981152719132862,4.0,87,0,0,Middle,86
P12,F170,JetBlue,DFW,ATL,2023-06-20 14:41:24,101,On-time,1148,338.0,39,Male,Medium,Business,Premium Economy,1,Gold,Online,7.938701717800883,7.0,9,0,0,Middle,74
P13,F1171,American Airlines,DFW,ORD,2024-02-28 01:57:01,108,Delayed,1167,388.83,28,Female,Medium,Emergency,Economy,0,,Desk,7.097552999539992,13.0,115,0,0,Window,74
P14,F1788,United,DEN,JFK,2024-09-18 07:37:18,237,On-time,1544,276.14,38,Female,Low,Business,Economy,0,Silver,Desk,8.371072668777257,3.0,13,0,0,Window,87
P15,F377,Southwest,JFK,DEN,2024-05-13 12:05:04,188,On-time,596,359.22,20,Male,Low,Business,Business,0,Gold,Desk,9.69619051802221,8.0,87,0,0,Window,116
P16,F484,Southwest,SEA,SEA,2023-05-12 20:15:14,228,On-time,1256,361.83,73,Male,Low,Business,Business,1,,Mobile App,9.421365562543105,3.0,84,0,0,Middle,99
P17,F1631,JetBlue,DFW,ORD,2023-10-19 19:34:27,85,On-time,1012,222.65,19,Female,Medium,Emergency,Premium Economy,0,,Online,8.416482760817354,11.0,76,0,0,Middle,103
P18,F170,JetBlue,DFW,DEN,2024-04-13 01:27:37,232,On-time,1196,439.21,18,Female,Low,Family,Premium Economy,0,,Mobile App,8.095781847099417,12.0,8,0,0,Window,23
P19,F478,JetBlue,DFW,SFO,2024-01-26 01:03:40,167,Delayed,1240,215.42,64,Male,Medium,Emergency,Economy,0,Gold,Airport Kiosk,5.900382691374292,4.0,88,0,0,Aisle,2
P20,F362,JetBlue,ATL,JFK,2024-09-19 00:55:28,83,On-time,1387,496.54,20,Male,Medium,Leisure,Economy,0,Platinum,Mobile App,6.938866542082612,2.0,24,0,0,Aisle,21
P21,F1143,Southwest,ATL,LAX,2023-11-16 21:04:19,248,On-time,1004,388.72,22,Male,Medium,Emergency,Premium Economy,0,,Mobile App,6.766471616211377,4.0,59,0,0,Middle,52
P22,F39,Delta,ORD,DEN,2023-08-24 21:38:28,229,On-time,1278,271.2,29,Male,Medium,Family,Economy,1,Gold,Airport Kiosk,7.494365977042772,9.0,52,1,1,Window,1
P23,F1663,American Airlines,SFO,SEA,2025-02-11 07:57:22,87,On-time,902,248.89,54,Male,High,Business,Economy,1,,Mobile App,8.061876770085306,3.0,10,0,0,Window,87
P24,F290,JetBlue,LAX,SEA,2023-05-25 00:18:47,256,Cancelled,1328,192.0,60,Female,Low,Leisure,Economy,2,Gold,Online,6.859631645699962,16.0,66,0,0,Window,107
P25,F888,JetBlue,ORD,JFK,2023-08-06 21:18:14,238,On-time,959,243.87,55,Female,Medium,Leisure,Economy,0,,Online,6.122058456422469,6.0,92,0,0,Middle,29
P26,F1447,United,ORD,LAX,2024-05-26 10:14:26,138,On-time,1397,406.52,34,Male,Medium,Leisure,Economy,1,,Online,7.038057541200927,6.0,94,0,0,Aisle,37
P27,F47,Delta,ATL,LAX,2025-02-06 21:23:06,117,On-time,1059,333.59,51,Male,Low,Leisure,Premium Economy,0,Gold,Online,6.932334127096246,14.0,70,0,0,Window,1
P28,F556,United,SEA,SEA,2023-06-30 13:32:12,169,On-time,1403,197.8,75,Male,Medium,Business,Economy,3,,Airport Kiosk,6.505560883674507,7.0,24,0,0,Window,63
P29,F427,American Airlines,SFO,DFW,2025-01-13 20:17:55,192,On-time,1096,219.61,54,Male,Medium,Emergency,Economy,1,Gold,Desk,6.388473403962688,2.0,64,0,1,Aisle,59
P30,F939,American Airlines,DEN,LAX,2023-06-06 21:53:21,145,On-time,1272,420.26,31,Female,High,Family,Economy,1,,Mobile App,7.07835186119239,11.0,114,0,0,Middle,20
P31,F922,Southwest,ORD,ATL,2023-12-11 09:10:50,100,Cancelled,1615,349.5,45,Female,Medium,Leisure,Economy,1,,Desk,7.087532687441101,7.0,45,0,0,Middle,32
P32,F127,JetBlue,DEN,JFK,2024-03-20 19:22:08,224,On-time,875,325.89,49,Male,Medium,Business,Economy,1,Platinum,Online,6.961642355859321,2.0,63,0,0,Window,75
P33,F602,United,SFO,LAX,2024-09-19 07:53:40,241,Delayed,1188,416.78,37,Male,High,Leisure,Economy,1,Silver,Airport Kiosk,7.3305089522114155,0.0,109,0,0,Window,57
P34,F186,American Airlines,LAX,ATL,2023-07-06 20:34:40,115,On-time,1622,270.02,76,Female,Medium,Family,Premium Economy,1,,Online,7.656335705000235,14.0,7,0,1,Middle,21
P35,F699,American Airlines,ORD,SFO,2024-01-09 11:27:32,146,On-time,1435,403.37,44,Male,Medium,Family,Economy,0,,Desk,8.173442984479559,0.0,96,0,0,Middle,107
P36,F215,Delta,LAX,DFW,2024-01-30 02:16:49,218,On-time,2558,430.53,31,Female,High,Family,Economy,1,Silver,Airport Kiosk,7.884109847068589,7.0,90,0,0,Middle,88
P37,F1221,American Airlines,DFW,JFK,2023-08-18 11:53:56,262,Cancelled,1198,284.82,70,Female,Low,Emergency,Economy,0,Gold,Airport Kiosk,7.124419809842203,8.0,43,0,0,Middle,48
P38,F117,American Airlines,DFW,SFO,2023-08-14 12:46:20,187,On-time,986,292.8,69,Male,High,Leisure,Economy,1,Silver,Mobile App,7.457804582612883,16.0,34,0,0,Middle,90
P39,F807,JetBlue,ATL,LAX,2024-06-25 08:10:02,291,On-time,1030,497.05,60,Female,Medium,Leisure,Economy,0,Silver,Mobile App,7.091034032843199,3.0,63,0,0,Window,58
P40,F657,Delta,ATL,LAX,2024-10-16 09:50:05,92,On-time,1231,325.8,44,Male,Medium,Emergency,Economy,2,Silver,Mobile App,6.670745660108558,0.0,79,0,0,Aisle,41
P41,F1353,American Airlines,JFK,ATL,2023-11-15 21:25:13,182,Delayed,938,239.45,66,Female,Low,Family,Economy,1,,Desk,7.9669267982307,13.0,92,0,0,Middle,91
P42,F1179,Delta,LAX,DEN,2023-11-14 06:00:32,92,On-time,1458,370.34,21,Male,Medium,Business,Economy,2,,Desk,7.5218152946965,0.0,107,0,1,Middle,59
P43,F1036,Southwest,DFW,ATL,2025-04-18 01:08:33,179,On-time,925,398.66,50,Female,Medium,Leisure,Economy,1,,Mobile App,8.230796793855578,28.0,70,0,0,Window,79
P44,F229,American Airlines,SFO,SEA,2023-12-13 06:55:30,218,On-time,1241,466.83,42,Female,Medium,Emergency,Business,1,Silver,Mobile App,8.628542675145846,14.0,88,0,0,Middle,14
P45,F1553,JetBlue,ORD,DEN,2024-03-31 08:11:06,158,On-time,1134,320.68,72,Female,High,Leisure,Economy,1,,Mobile App,6.368131043760007,8.0,68,0,0,Window,61
P46,F1759,JetBlue,LAX,ORD,2023-08-28 02:18:07,165,On-time,1479,352.61,30,Male,Low,Leisure,Economy,1,Silver,Mobile App,7.301156663291552,9.0,12,0,0,Middle,61
P47,F726,JetBlue,JFK,DFW,2025-01-20 05:45:18,89,Cancelled,1096,315.38,37,Male,Medium,Business,Premium Economy,1,,Online,9.146897051549278,1.0,48,0,0,Middle,46
P48,F121,Southwest,DEN,SFO,2025-01-16 00:19:18,261,Delayed,1301,449.12,38,Male,High,Family,Economy,0,Gold,Airport Kiosk,7.209823707052524,6.0,115,0,0,Middle,61
P49,F1441,JetBlue,JFK,DEN,2023-06-05 23:34:32,145,On-time,1441,219.72,25,Male,Medium,Family,Premium Economy,2,,Airport Kiosk,7.670787524442261,26.0,26,0,0,Middle,50
P50,F1698,JetBlue,DEN,JFK,2023-05-23 17:58:48,268,On-time,1286,122.7,29,Male,High,Emergency,Economy,0,,Mobile App,7.216614717636776,11.0,112,0,0,Middle,107
P51,F362,American Airlines,SEA,DFW,2023-11-12 21:50:20,186,On-time,1212,375.59,39,Female,Medium,Business,Economy,2,Platinum,Online,7.427092877165459,13.0,6,0,0,Window,54
P52,F1577,JetBlue,SEA,LAX,2025-02-09 16:35:21,193,On-time,1204,229.09,67,Female,Low,Leisure,Premium Economy,0,,Online,9.517027613944006,8.0,109,0,0,Window,115
